dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
cloud,cloud,experiment_2,poly,robust_hybrid,38,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.7222222222222222,26,0.3823529411764705,0.7222222222222222,0.069336700005806
cloud,cloud,experiment_2,poly,robust_hybrid,39,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.7222222222222222,24,0.3529411764705882,0.7222222222222222,0.0738119000016013
cloud,cloud,experiment_2,poly,robust_hybrid,40,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,38,0.5588235294117647,0.7222222222222222,0.0445945999963441
cloud,cloud,experiment_2,poly,robust_hybrid,41,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.6666666666666666,38,0.5588235294117647,0.6666666666666666,0.0322695999930147
cloud,cloud,experiment_2,poly,robust_hybrid,42,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7777777777777778,32,0.4705882352941176,0.7777777777777778,0.0279848999925889
cloud,cloud,experiment_2,poly,robust_hybrid,43,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,34,0.5,0.7222222222222222,0.043021299992688
cloud,cloud,experiment_2,poly,robust_hybrid,44,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.5555555555555556,43,0.6323529411764706,0.5555555555555556,0.0334075999999186
cloud,cloud,experiment_2,poly,robust_hybrid,45,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.5555555555555556,39,0.5735294117647058,0.5555555555555556,0.0225577000092016
cloud,cloud,experiment_2,poly,robust_hybrid,46,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.6111111111111112,47,0.6911764705882353,0.6111111111111112,0.0508679000049596
cloud,cloud,experiment_2,poly,robust_hybrid,47,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.5555555555555556,44,0.6470588235294118,0.5555555555555556,0.0227751999918837
cloud,cloud,experiment_2,poly,robust_hybrid,48,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.5,43,0.6323529411764706,0.5,0.0208751000027405
cloud,cloud,experiment_2,poly,user_formula_1,1,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.2777777777777778,2,0.0294117647058823,0.2777777777777778,0.1579488999996101
cloud,cloud,experiment_2,poly,user_formula_1,2,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.2777777777777778,2,0.0294117647058823,0.2777777777777778,0.1138919999939389
cloud,cloud,experiment_2,poly,user_formula_1,3,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.2777777777777778,3,0.0441176470588235,0.2777777777777778,0.1603926999960094
cloud,cloud,experiment_2,poly,user_formula_1,4,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0664086000033421
cloud,cloud,experiment_2,poly,user_formula_1,5,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0531035999883897
cloud,cloud,experiment_2,poly,user_formula_1,6,ok,,"{""C"": 0.1, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7222222222222222,7,0.1029411764705882,0.7222222222222222,0.0447596000012708
cloud,cloud,experiment_2,poly,user_formula_1,7,ok,,"{""C"": 0.1, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0455426999978954
cloud,cloud,experiment_2,poly,user_formula_1,8,ok,,"{""C"": 0.1, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0397608999919611
